Dental service,Price in UAH
Consultation of a specialist,450
Comprehensive treatment plan,1500
X-ray (primary),160
Infiltration anesthesia,280
Conduction anesthesia,370
Temporary Filling (Dentine paste),160
Restoring a tooth for prosthetics,1800
Fiberglass post,1200
Tooth restoration,1800
Aesthetic tooth restoration,3400
Microscopic Root Canal Therapy,5970
Periodontograma,650
Curettage (1 segment),1300
Application of Hyaluronic Acid,1500
Professional hygiene,2100
I-CON coating,1300
Teeth whitening,3600
Remineralization before and after bleaching (1 jaw),900
